ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20160023338,312251,N,2529240.563,2331108.955,BASS COAST,BASS COAST,TOWNS,-38.52124,145.335233,3925
T20160023339,37481,I,2495783.223,2407587.089,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.832745,144.952097,3205
T20160023340,310159,N,2443165.783,2371761.016,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.15378,144.351596,3220
T20160023341,313017,N,2498640.334,2352803.497,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.326295,144.984452,3936
T20160023342,310368,I,2527805.048,2380968.441,CASEY,CASEY,MELB_URBAN,-38.072159,145.316873,3977
T20160023344,309954,N,2507508.294,2418805.855,BANYULE,BANYULE,MELB_URBAN,-37.731642,145.085181,3084
T20160023346,310151,N,2535792.395,2402898.465,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.87431,145.40683,3793
T20160023349,311359,N,2503372.752,2393647.604,BAYSIDE,BAYSIDE,MELB_URBAN,-37.95834,145.038379,3192
T20160023351,313463,N,2523724.788,2390370.253,CASEY,CASEY,MELB_URBAN,-37.98757,145.27007,3802
T20160023353,322958,N,2497034.377,2410750.228,MELBOURNE,MELBOURNE,MELB_URBAN,-37.80425,144.966323,3053
T20160023354,225466,I,2511759.933,2386248.493,DANDENONG,"DANDENONG,KINGSTON",MELB_URBAN,-38.024932,145.133935,3195
T20160023355,310370,N,2513039.07,2378067.033,FRANKSTON,FRANKSTON,MELB_URBAN,-38.098622,145.148649,3198
T20160023356,309962,N,2489068.631,2405046.734,HOBSONS BAY,HOBSONS BAY,MELB_URBAN,-37.855579,144.875781,3016
T20160023357,309945,N,2495733.28,2423197.07,HUME,HUME,MELB_URBAN,-37.692096,144.95162,3047
T20160023358,45548,I,2495228.218,2415795.433,MORELAND,MERRI-BEK,MELB_URBAN,-37.758785,144.945845,3055
T20160023360,714175,I,2510092.926,2433347.976,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.600585,145.114305,3754
T20160023361,35376,I,2499120.671,2409274.069,MELBOURNE,"YARRA,MELBOURNE",MELB_URBAN,-37.817555,144.990013,3121
T20160023363,44278,I,2509844.236,2347508.238,MORNINGTON PENINSULA,MORNINGTON PENINSULA,RURAL_VICTORIA,-38.373941,145.112639,3926
T20160023363,44278,I,2509844.236,2347508.238,MORNINGTON PENINSULA,MORNINGTON PENINSULA,TOWNS,-38.373941,145.112639,3926
T20160023364,310027,N,2447206.121,2360432.799,GEELONG,"GEELONG,SURF COAST",RURAL_VICTORIA,-38.256065,144.396871,3227
T20160023366,311139,N,2437575.883,2364437.659,GEELONG,GEELONG,RURAL_VICTORIA,-38.21939,144.287199,3216
T20160023367,278539,I,2517281.961,2392467.298,DANDENONG,DANDENONG,MELB_URBAN,-37.968819,145.196679,3175
T20160023371,311493,N,2513605.008,2393081.09,DANDENONG,DANDENONG,MELB_URBAN,-37.96335,145.154822,3172
T20160023372,43926,I,2521122.671,2369995.836,CASEY,CASEY,RURAL_VICTORIA,-38.171184,145.241036,3912
T20160023373,310111,N,2609498.492,2367453.754,LATROBE,LATROBE,SMALL_CITIES,-38.18785,146.249827,3825
T20160023374,310104,N,2560776.066,2477729.862,MURRINDINDI,"MURRINDINDI,MURRINDINDI",RURAL_VICTORIA,-37.198729,145.684679,3714
T20160023375,311045,N,2508566.795,2395168.095,KINGSTON,KINGSTON,MELB_URBAN,-37.944608,145.097464,3169
T20160023376,67644,I,2509842.431,2404451.094,MONASH,MONASH,MELB_URBAN,-37.860958,145.111853,3147
T20160023377,311318,N,2524285.14,2379812.555,CASEY,CASEY,MELB_URBAN,-38.082671,145.276798,3977
T20160023378,129035,N,2498002.238,2402517.434,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.87843,144.977292,3184
T20160023380,29447,I,2500730.044,2409057.795,YARRA,YARRA,MELB_URBAN,-37.819504,145.008292,3121
